Console,Title,Licensee,Released
NES,Conquest of the Crystal Palace,Asmik,1990-11-01
NES,Contra,Konami,1988-02-01
NES,Contra Force,Konami,1992-09-01
NES,Cool World,Ocean,1993-06-01
NES,Cowboy Kid,Romstar,1992-01-01
NES,Crash 'n the Boys: Street Challenge,American Technos,1992-10-01
NES,Crystalis,SNK,1990-07-01
NES,Cybernoid: The Fighting Machine,Acclaim,1989-12-01
NES,Dance Aerobics,Nintendo,1989-03-01
NES,Danny Sullivan's Indy Heat,Tradewest,1992-08-01
NES,Darkman,Ocean,1991-10-01
NES,Darkwing Duck,Capcom,1992-06-01
NES,Dash Galaxy in the Alien Asylum,Data East,1990-02-01
NES,Day Dreamin' Davey,Hal America,1992-06-01
NES,Days of Thunder,Mindscape,1990-10-01
NES,Deadly Towers,Broderbund,1987-09-01
NES,Defender II,Hal America,1988-07-01
NES,Defender of the Crown,Ultra Soft,1989-07-01
NES,Defenders of Dynatron City,JVC,1992-07-01
NES,Deja Vu,Seika,1990-12-01
NES,Demon Sword,Taito Software,1990-01-01
NES,Desert Commander,Seika,1989-06-01
NES,Destination Earth Star,Acclaim,1990-02-01
NES,Destiny of an Emperor,Capcom,1990-09-01
NES,Dick Tracy,Bandai,1990-08-01
NES,Die Hard,Activision,1992-01-01
NES,Dig Dug II,Bandai,1989-12-01
NES,Digger T. Rock: Legend of the Lost City,Milton Bradley,1990-12-01
NES,Dirty Harry: The War Against Drugs,Mindscape,1990-12-01
NES,Donkey Kong,Nintendo,1986-06-01
NES,Donkey Kong 3,Nintendo,1986-06-01
NES,Donkey Kong Classics,Nintendo,1988-10-01
NES,Donkey Kong Jr.,Nintendo,1986-06-01
NES,Donkey Kong Jr. Math,Nintendo,1985-10-01
NES,Double Dare,Gametek,1990-04-01
NES,Double Dragon,Tradewest,1988-06-01
NES,Double Dragon II: The Revenge,Acclaim,1990-01-01
NES,Double Dragon III: The Sacred Stone,Acclaim,1991-02-01
NES,Double Dribble,Konami,1987-09-01
NES,Dr. Chaos,FCI,1988-11-01
NES,Dr. Jekyll & Mr. Hyde,Bandai,1989-04-01
NES,Dr. Mario,Nintendo,1990-10-01
NES,Dragon Fighter,Sofel,1992-01-01
NES,Dragon Power,Bandai,1988-03-01
NES,Dragon Spirit: The New Legend,Bandai,1990-06-01
NES,Dragon Warrior,Nintendo,1989-08-01
NES,Dragon Warrior II,Enix,1990-09-01
NES,Dragon Warrior III,Enix,1992-03-01
NES,Dragon Warrior IV,Enix,1992-10-01
NES,Dragon's Lair,Sony Imagesoft,1990-12-01
NES,Duck Hunt,Nintendo,1985-10-01
NES,Duck Tales,Capcom,1989-09-01
NES,Duck Tales II,Capcom,1993-06-01
NES,Dungeon Magic,Taito Software,1990-07-01
NES,Dusty Diamond's All-Star Softball,Broderbund,1990-07-01
NES,Dynowarz: The Destruction of Spondylus,Bandai,1990-04-01
NES,Elevator Action,Taito Software,1987-08-01
NES,Eliminator Boat Duel,Electro Brain,1991-11-01
NES,Evert & Lendl Top Player's Tennis,Asmik,1990-01-01
NES,Excitebike,Nintendo,1985-10-01
NES,F-117A Stealth Fighter,Microprose,1992-12-01
