Console,Title,Licensee,Released
N64,NBA Jam '99,Acclaim,1998-12-01
N64,NBA Jam 2000,Acclaim,1999-11-01
N64,NBA Live 2000,EA Sports,1999-11-01
N64,NBA Live 99,EA Sports,1998-11-01
N64,NBA Showtime,Midway,1999-11-01
N64,NFL Blitz,Midway,1998-09-01
N64,NFL Blitz 2000,Midway,1999-08-01
N64,NFL Blitz 2001,Midway,2000-09-01
N64,NFL Quarterback Club '99,Acclaim,1998-11-01
N64,NFL Quarterback Club 2000,Acclaim,1999-09-01
N64,NFL Quarterback Club 2001,Acclain,2000-08-01
N64,NFL Quarterback Club 98,Acclaim,1997-10-01
N64,NHL '99,EA Sports,1998-10-01
N64,NHL Blades of Steel 99,Konami,1999-03-01
N64,NHL Breakaway '99,Acclaim,1998-12-01
N64,NHL Breakaway 98,Acclaim,1998-02-01
N64,Nightmare Creatures,Activision,1998-11-01
N64,Nuclear Strike,THQ,1999-12-01
N64,Offroad Challenge,Midway,1998-06-01
N64,Ogre Battle 64: Person of Lordly Caliber,Atlus Software,2000-10-01
N64,Olympic Hockey Nagano ' 98,Midway,1998-02-01
N64,Paper Mario,Nintendo,2001-02-01
N64,Paperboy 64,Mindscape,1999-10-01
N64,Penny Racers,THQ,1999-02-01
N64,Perfect Dark,Nintendo,2000-05-01
N64,PilotWings 64,Nintendo,1996-09-01
N64,Pokemon Puzzle League,Nintendo,2000-09-01
N64,Pokemon Snap,Nintendo,1999-07-01
N64,Pokemon Stadium,Nintendo,2000-03-01
N64,Pokemon Stadium 2,Nintendo,2001-03-01
N64,Polaris Snocross,Vatical Entertainment,2000-12-01
N64,Power Rangers Lightspeed Rescue,THQ,2000-10-01
N64,Powerpuff Girls: Chemical X Traction,Bay Area Mutimedia,2001-11-01
N64,Quake 64,Midway,1998-03-01
N64,Quake II,Activision,1999-06-01
N64,Quest 64,THQ,1998-06-01
N64,Rainbow Six,Red Storm,1999-11-01
N64,Rally Challenge 2000,South Peak Interactive,2000-06-01
N64,Rampage 2: Universal Tour,Midway,1999-03-01
N64,Rampage World Tour,Midway,1998-03-01
N64,Rat Attack,Mindscape,2000-03-01
N64,Rayman 2,Ubi Soft,1999-11-01
N64,Re-Volt,Acclaim,1999-08-01
N64,Ready 2 Rumble,Midway,1999-11-01
N64,Ready 2 Rumble 2,Midway,2000-11-01
N64,Resident Evil 2,Capcom,1999-11-01
N64,Ridge Racer 64,Nintendo,2000-02-01
N64,Road Rash,EA Sports,1999-09-01
N64,Roadsters,Titus,1999-12-01
N64,Robotron 64,Crave Entertainment,1998-01-01
N64,Rocket: Robot on Wheels,Ubi Soft,1999-11-01
N64,Rugrats in Paris: The Movie,THQ,2000-11-01
N64,Rugrats: Scavenger Hunt,THQ,1999-06-01
N64,Rush 2: Extreme Racing,Midway,1998-11-01
N64,Rush 2049,Midway,2000-09-01
N64,San Francisco Rush: Extreme Racing,Midway,1997-11-01
N64,SCARS,Ubi Soft,1998-12-01
N64,Scooby Doo: Classic Creep Capers,THQ,2000-12-01
N64,Shadow Man,Acclaim,1999-08-01
N64,Shadowgate 64: Trial of the Four Towers,Kemco,1999-06-01
N64,Snowboard Kids,Atlus Software,1998-02-01
N64,Snowboard Kids 2,Atlus Software,1999-03-01
N64,South Park,Acclaim,1998-12-01
N64,South Park Rally,Acclaim,2000-02-01
N64,Space Invaders,Activision,1999-12-01
N64,Space Station: Silicon Valley,Take 2 Interactive,1998-10-01
N64,Spider-Man,Activision,2000-11-01
N64,Star Fox 64,Nintendo,1997-06-01
N64,Star Fox 64,Nintendo,1997-06-01
N64,Star Soldier: Vanishing Earth,Electro Brain,1998-12-01
N64,Star Wars Episode One: Battle for Naboo,Lucas Arts,2000-12-01
N64,Star Wars Episode One: Racer,Nintendo,1999-05-01
N64,Star Wars: Rogue Squadron,Nintendo,1998-12-01
N64,Star Wars: Shadows of the Empire,Nintendo,1996-12-01
N64,StarCraft,Nintendo,2000-06-01
N64,Starshot: Space Circus Fever,Ocean,1999-06-01
N64,Super Bowling,UFO,2001-02-01
N64,Super Mario 64,Nintendo,1996-09-01
N64,Super Smash Brothers,Nintendo,1999-04-01
N64,Supercross 2000,EA Sports,1999-12-01
N64,Superman,Titus,1999-05-01
N64,Tetrisphere,Nintendo,1997-08-01
N64,The Legend of Zelda: Majora's Mask,Nintendo,2000-10-01
N64,The Legend of Zelda: Ocarina of Time,Nintendo,1998-11-01
N64,The New Tetris,Nintendo,1999-07-01
N64,The NHLPA and NHL Present Wayne Gretzky's 3-D Hockey '98,Midway,1997-12-01
N64,The World Is Not Enough,Electronic Arts,2000-10-01
N64,Tom and Jerry: Fists of Furry,NewKidCo,2000-12-01
N64,Tonic Trouble,Ubi Soft,1999-09-01
N64,Tony Hawk's Pro Skater,Activision,2000-03-01
N64,Tony Hawk's Pro Skater 2,Activision,2001-08-01
N64,Tony Hawk's Pro Skater 3,Activision,2002-08-01
N64,Top Gear Hyper-Bike,Kemco,2000-03-01
N64,Top Gear Overdrive,Kemco,1998-11-01
N64,Top Gear Rally,Midway,1997-10-01
N64,Top Gear Rally 2,EA Sports,1999-12-01
N64,Tranformers Beast Wars: Transmetals,Bay Area Multimedia,2000-11-01
N64,Triple Play 2000,EA Sports,1999-03-01
N64,Turok 2: Seeds of Evil,Acclaim,1998-12-01
N64,Turok 3: Shadow of Oblivion,Acclain,2000-08-01
N64,Turok: Dinosaur Hunter,Acclaim,1997-02-01
N64,Turok: Rage Wars,Acclaim,1999-11-01
N64,Twisted Edge Snowboarding,Midway,1998-11-01
N64,V-Rally Edition 99,Infogrames,1999-09-01
N64,Vigilante 8,Activision,1999-03-01
N64,Vigilante 8: Second Offensive,Activision,2000-02-01
N64,Virtual Chess 64,Titus,1998-06-01
N64,Virtual Pool 64,Crave Entertainment,1998-11-01
N64,Waialae Country Club: True Golf Classics,Nintendo,1998-07-01
N64,War Gods,Midway,1997-05-01
N64,Wave Race 64 Kawasaki Jet Ski,Nintendo,1996-11-01
N64,Wayne Gretzky's 3D Hockey,Midway,1996-11-01
N64,WCW Backstage Assault,Electronic Arts,2000-12-01
N64,WCW Mayhem,Electronic Arts,1999-09-01
N64,WCW vs NWO: Nitro,THQ,1999-02-01
N64,WCW vs NWO: World Tour,THQ,1997-11-01
N64,WCW/NWO Revenge,THQ,1998-10-01
N64,Wetrix,Ocean,1998-06-01
N64,Wheel of Fortune,Gametek,1997-12-01
N64,WinBack,Koei,1999-10-01
N64,Wipeout 64,Psygnosis,1998-11-01
N64,World Cup '98,EA Sports,1998-05-01
N64,World Driver Chamionship,Midway,1999-06-01
N64,Worms: Armageddon,Infogrames,2000-03-01
N64,WWF Wrestlemania 2000,THQ,1999-11-01
N64,WWF: Attitude,Acclaim,1999-08-01
N64,WWF: No Mercy,THQ,2000-11-01
N64,WWF: War Zone,Acclaim,1998-08-01
N64,Xena Warrior Princess: The Talisman of Fate,Titus,1999-12-01
N64,Yoshi's Story,Nintendo,1998-03-01
