Console,Title,Licensee,Released
SNES,Daffy Duck: The Marvin Missions,Sunsoft,1993-10-01
SNES,Darius Twin,Taito Software,1991-11-01
SNES,David Crane's Amazing Tennis,Absolute,1992-10-01
SNES,Demolition Man,Acclaim,1995-08-01
SNES,Demon's Crest,Capcom,1994-11-01
SNES,Dennis the Menace,Ocean,1993-12-01
SNES,Desert Strike: Return to the Gulf,Electronic Arts,1992-10-01
SNES,Dig & Spike Volleyball,Hudson Soft,1993-12-01
SNES,Dinocity,Irem,1992-09-01
SNES,Dirt Trax FX,Acclaim,1995-11-01
SNES,Disney's Aladdin,Majesco,1993-11-01
SNES,Disney's Beauty and the Beast,Hudson Soft,1994-07-01
SNES,Disney's Goof Troop,Majesco,1993-07-01
SNES,Disney's The Lion King,Majesco,1994-10-01
SNES,Donkey Kong Country,Nintendo,1994-11-01
SNES,Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,1995-12-01
SNES,Donkey Kong Country 3: Dixie Kong's Double Trouble,Nintendo,1996-11-01
SNES,Doom,Midway,1995-09-01
SNES,Doomsday Warrior,Renovation,1993-03-01
SNES,Double Dragon V: The Shadow Falls,Tradewest,1994-08-01
SNES,Dragon View,Kemco,1994-11-01
SNES,Dragon: The Bruce Lee Story,Acclaim,1995-07-01
SNES,Dragon's Lair,Data East,1993-02-01
SNES,Drakkhen,Seika,1991-09-01
SNES,Dream TV,Triffix,1994-04-01
SNES,Dungeon Master,JVC,1993-06-01
SNES,E.V.O.: Search for Eden,Enix,1993-07-01
SNES,EarthBound,Nintendo,1995-06-01
SNES,Earthworm Jim,Playmates,1994-10-01
SNES,Earthworm Jim 2,Playmates,1995-11-01
SNES,Eek! The Cat,Ocean,1994-08-01
SNES,Elite Soccer,Gametek,1994-08-01
SNES,Emmitt Smith Football,JVC,1995-11-01
SNES,Equinox,Sony Imagesoft,1994-03-01
SNES,ESPN Baseball Tonight,Sony Imagesoft,1994-05-01
SNES,ESPN National Hockey Night,Sony Imagesoft,1994-12-01
SNES,ESPN Speedworld,Sony Imagesoft,1994-11-01
SNES,ESPN Sunday Night Football,Sony Imagesoft,1994-11-01
SNES,Extra Innings,Sony Imagesoft,1992-03-01
SNES,Eye of the Beholder,Capcom,1994-04-01
SNES,F-Zero,Nintendo,1991-08-01
SNES,F1 Pole Position,UBI Soft,1993-12-01
SNES,F1 ROC II: Race of Champions,Seta,1994-07-01
SNES,F1 ROC: Race of Champions,Seta,1992-09-01
SNES,Faceball 2000,Bullet Proof Software,1992-09-01
SNES,Family Dog,Malibu Games,1993-06-01
SNES,Family Feud,Majesco,1993-10-01
SNES,Fatal Fury,Takara,1993-04-01
SNES,Fatal Fury 2,Takara,1994-04-01
SNES,Fatal Fury Special,Playmates,1995-04-01
SNES,FIFA International Soccer,EA Sports,1994-05-01
SNES,FIFA Soccer '96,EA Sports,1995-11-01
SNES,Fighter's History,Data East,1994-08-01
SNES,Final Fantasy II,Square Soft,1991-11-01
SNES,Final Fantasy III,Square Soft,1994-10-01
SNES,Final Fantasy: Mystic Quest,Square Soft,1992-10-01
SNES,Final Fight,Capcom,1991-09-01
SNES,Final Fight 2,Capcom,1993-08-01
SNES,Final Fight 3,Capcom,1996-01-01
SNES,Final Fight Guy,Capcom,1994-06-01
SNES,Firepower 2000,Sunsoft,1992-11-01
SNES,Firestriker,DTMC,1994-10-01
SNES,First Samurai,Kemco,1993-07-01
SNES,Flashback: The Quest for Identity,US Gold,1994-02-01
SNES,Football Fury,American Sammy,1993-10-01
SNES,Foreman For Real,Acclaim,1995-09-01
SNES,Frank Thomas' Big Hurt Baseball,Acclaim,1995-11-01
SNES,Frantic Flea,Gametek,1996-04-01
SNES,Full Throttle Racing,Cybersoft,1995-01-01
SNES,Fun 'N' Games,Tradewest,1994-08-01
SNES,Gemfire,Koei,1992-12-01
SNES,Genghis Khan II: Clan of the Grey Wolf,Koei,1993-12-01
SNES,George Foreman's KO Boxing,Acclaim,1992-09-01
SNES,Ghoul Patrol,JVC,1994-11-01
SNES,Goal!,Jaleco,1992-12-01
SNES,Gods,Mindscape,1992-12-01
SNES,GP-1,Atlus Software,1993-09-01
SNES,GP-1: Part II,Atlus Software,1994-12-01
SNES,Gradius III,Konami,1991-08-01
SNES,GunForce,Irem,1992-11-01
SNES,Hagane,Hudson Soft,1995-06-01
SNES,HammerLock Wrestling,Jaleco,1994-10-01
SNES,Hardball III,Accolade,1994-06-01
SNES,Harley's Humongous Adventure,Hi-Tech,1993-02-01
SNES,Harvest Moon,Natsume,1997-06-01
SNES,Head-On Soccer,US Gold,1995-09-01
SNES,Hit the Ice,Taito Software,1993-02-01
SNES,Hole in One Golf,Hal America,1991-09-01
SNES,Home Alone,THQ,1991-12-01
SNES,Home Alone 2: Lost in New York,THQ,1992-10-01
SNES,Home Improvement,Absolute,1994-11-01
SNES,Hook,Sony Imagesoft,1992-10-01
SNES,Hurricanes,US Gold,1994-12-01
SNES,Hyper V-Ball,Video System,1994-06-01
SNES,HyperZone,Hal America,1991-09-01
SNES,Illusion of Gaia,Nintendo,1994-09-01
SNES,Imperium,Vic Tokai,1992-11-01
SNES,Incantation,Titus,1996-12-01
SNES,Indiana Jones' Greatest Adventures,JVC,1994-10-01
SNES,Inindo: Way of the Ninja,Koei,1993-03-01
SNES,Inspector Gadget,Hudson Soft,1993-12-01
SNES,International Superstar Soccer,Konami,1995-06-01
SNES,International Superstar Soccer Deluxe,Konami,1995-11-01
SNES,International Tennis Tour,Taito Software,1993-11-01
SNES,Irem Skins Game,Irem,1992-10-01
SNES,Izzy's Quest for the Olympic Rings,US Gold,1995-11-01
SNES,Jack Nicklaus Golf,Tradewest,1992-05-01
SNES,James Bond Jr.,THQ,1992-10-01
SNES,Jammit!,GTE,1994-11-01
SNES,Jeopardy! Deluxe Edition,Majesco,1994-06-01
SNES,Jeopardy! Featuring Alex Trebek,Gametek,1992-12-01
SNES,Jeopardy! Sports Edition,Gametek,1994-05-01
SNES,Jim Power: The Lost Dimension in 3-D,Electro Brain,1993-12-01
SNES,Jimmy Connors Pro Tennis Tour,UBI Soft,1992-12-01
SNES,Jimmy Houston's Bass Tournament USA,American Sammy,1995-11-01
SNES,Joe & Mac 2: Lost in the Tropics,Data East,1994-04-01
